Step	Suggestion	Action	Compliance	Reward	True_mu	Estimated_mu	Temperature	Q_max
314	2.5253	2.5147	0.9210	1.1072	2.2910	2.4717	0.3757	1.1094
315	2.5253	2.5254	0.9216	1.1129	2.2920	2.4606	0.3757	1.1094
316	3.7374	2.2591	0.0437	0.2187	2.2930	2.4541	0.3757	1.1094
317	3.3838	2.2772	0.1684	0.3226	2.2940	2.4393	0.3758	1.1094
318	3.5354	2.3957	0.0995	0.3031	2.2950	2.4346	0.3760	1.1094
319	2.6768	2.5670	0.8045	1.0233	2.2960	2.4456	0.3763	1.1094
320	3.6869	2.4052	0.0552	0.2727	2.2970	2.4490	0.3764	1.1094
321	2.1717	2.1766	0.9764	1.0421	2.2980	2.4203	0.3765	1.1094
322	2.3737	2.3728	0.9917	1.1130	2.2990	2.4124	0.3768	1.1094
323	2.4747	2.4647	0.9552	1.1146	2.3000	2.3958	0.3772	1.1112
324	2.2222	2.2260	0.9907	1.0664	2.3010	2.3670	0.3776	1.1112
325	2.5758	2.5481	0.8937	1.0961	2.3020	2.3692	0.3783	1.1112
326	3.5354	2.5904	0.1025	0.3965	2.3030	2.4024	0.3789	1.1112
327	2.6768	2.6057	0.8119	1.0525	2.3040	2.4352	0.3793	1.1112
